time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-09-07T00:00:00.0000000Z,2018-09-08T00:00:00.0000000Z,2018-09-07T13:02:13.7590000Z,2018-09-07T18:52:34.5660000Z,43.92,43.99,43.2,43.57,52.81556576,6
2018-09-08T00:00:00.0000000Z,2018-09-09T00:00:00.0000000Z,2018-09-08T00:16:46.6120000Z,2018-09-08T23:42:08.8490000Z,45.0,47.68,41.39,44.99,128.97727813,59
2018-09-09T00:00:00.0000000Z,2018-09-10T00:00:00.0000000Z,2018-09-09T00:40:45.4710000Z,2018-09-09T23:53:50.3380000Z,42.9,45.66,42.14,43.0,665.17799669,116
2018-09-10T00:00:00.0000000Z,2018-09-11T00:00:00.0000000Z,2018-09-10T00:39:28.0100000Z,2018-09-10T22:56:23.8920000Z,43.98,43.99,40.88,41.1,124.57959156,64
2018-09-11T00:00:00.0000000Z,2018-09-12T00:00:00.0000000Z,2018-09-11T00:24:14.2900000Z,2018-09-11T23:26:34.4330000Z,41.48,41.67,39.0,39.87,462.01631978,71
2018-09-12T00:00:00.0000000Z,2018-09-13T00:00:00.0000000Z,2018-09-12T00:00:31.3820000Z,2018-09-12T23:58:43.4000000Z,39.88,39.88,36.68,39.8,1128.21544217,90
2018-09-13T00:00:00.0000000Z,2018-09-14T00:00:00.0000000Z,2018-09-13T00:10:22.3500000Z,2018-09-13T23:36:08.7620000Z,39.8,42.3,39.8,42.27,1561.20196396,91
2018-09-14T00:00:00.0000000Z,2018-09-15T00:00:00.0000000Z,2018-09-14T00:08:16.3570000Z,2018-09-14T23:42:37.7850000Z,42.2,45.4,40.54,44.87,709.6478911,125
2018-09-15T00:00:00.0000000Z,2018-09-16T00:00:00.0000000Z,2018-09-15T00:01:47.0670000Z,2018-09-15T23:31:04.8590000Z,43.88,46.98,42.97,45.96,348.867384,122
2018-09-16T00:00:00.0000000Z,2018-09-17T00:00:00.0000000Z,2018-09-16T00:12:07.7500000Z,2018-09-16T23:50:42.0120000Z,45.96,45.96,42.43,43.91,533.63907823,134
2018-09-17T00:00:00.0000000Z,2018-09-18T00:00:00.0000000Z,2018-09-17T01:18:46.7480000Z,2018-09-17T23:54:49.3750000Z,44.98,44.99,39.41,40.09,845.80960484,485
2018-09-18T00:00:00.0000000Z,2018-09-19T00:00:00.0000000Z,2018-09-18T00:07:55.6490000Z,2018-09-18T23:57:37.2430000Z,39.86,42.4,38.86,41.18,963.62434862,248
2018-09-19T00:00:00.0000000Z,2018-09-20T00:00:00.0000000Z,2018-09-19T00:08:07.5260000Z,2018-09-19T23:08:35.3600000Z,41.99,42.98,39.4,41.52,1222.30995301,383
2018-09-20T00:00:00.0000000Z,2018-09-21T00:00:00.0000000Z,2018-09-20T00:19:37.2740000Z,2018-09-20T23:53:32.1720000Z,41.25,43.48,40.5,43.01,2029.19886692,653
2018-09-21T00:00:00.0000000Z,2018-09-22T00:00:00.0000000Z,2018-09-21T00:01:17.0530000Z,2018-09-21T23:59:59.8430000Z,43.13,48.39,42.64,46.38,4470.90419327,1139
